categories,fund_code,fund_code_descr,departments,organization,organization_descr,program_code,program_code_descr,account,account_descr,fiscal_year,adopted,amended,actual,fiscal_year_descr,row_id
Miscellaneous,101,General Fund,Parks and Community Services,14300,Recreation Division,40231,Senior Center,450300,Donations,2020,0,75000,75000,2019  -  2020,FY2020PRG40231FND101DEP14300ACC450300
Miscellaneous,101,General Fund,Parks and Community Services,14300,Recreation Division,40231,Senior Center,499999,Other,2020,0,0,578.44,2019  -  2020,FY2020PRG40231FND101DEP14300ACC499999
Charges for Service,101,General Fund,Parks and Community Services,14300,Recreation Division,40232,Day Camp,435480,Day Camp,2020,189000,189000,35973.06,2019  -  2020,FY2020PRG40232FND101DEP14300ACC435480
Charges for Service,101,General Fund,Parks and Community Services,14300,Recreation Division,40233,Playgrounds Program,435490,Playgrounds,2020,475000,475000,298135.79,2019  -  2020,FY2020PRG40233FND101DEP14300ACC435490
Charges for Service,101,General Fund,Parks and Community Services,14300,Recreation Division,40236,Teen Programs,435565,Teen Camp,2020,34000,34000,-1892.48,2019  -  2020,FY2020PRG40236FND101DEP14300ACC435565
Charges for Service,101,General Fund,Parks and Community Services,14300,Recreation Division,40241,Early Childhood,435510,Early Childhood,2020,131328,131328,83788.75,2019  -  2020,FY2020PRG40241FND101DEP14300ACC435510
Miscellaneous,101,General Fund,Parks and Community Services,14300,Recreation Division,40241,Early Childhood,450300,Donations,2020,0,0,5,2019  -  2020,FY2020PRG40241FND101DEP14300ACC450300
Charges for Service,101,General Fund,Parks and Community Services,14300,Recreation Division,40242,Adult Instructional Classes,435520,Instructional Classes,2020,475000,475000,50961.57,2019  -  2020,FY2020PRG40242FND101DEP14300ACC435520
Charges for Service,101,General Fund,Parks and Community Services,14300,Recreation Division,40243,Youth Instructional Classes,435520,Instructional Classes,2020,0,0,126915.72,2019  -  2020,FY2020PRG40243FND101DEP14300ACC435520
Rental,216,Rental Rehab Program Fund,Finance,13200,Financial Operations,50540,Treasury,425150,GASB 31 Market Value Adjustmnt,2018,0,0,-1509.53,2017  -  2018,FY2018PRG50540FND216DEP13200ACC425150
Fines & Forfeitures,217,Narcotics Forfeiture Fund,Finance,13200,Financial Operations,50540,Treasury,420160,Asset Forfeiture - Justice,2018,0,0,3602.61,2017  -  2018,FY2018PRG50540FND217DEP13200ACC420160
Rental,217,Narcotics Forfeiture Fund,Finance,13200,Financial Operations,50540,Treasury,425150,GASB 31 Market Value Adjustmnt,2018,0,0,-5759.26,2017  -  2018,FY2018PRG50540FND217DEP13200ACC425150
Rental,218,Fire System Dev. Fees Fund,Finance,13200,Financial Operations,50540,Treasury,425150,GASB 31 Market Value Adjustmnt,2018,0,0,-1744.38,2017  -  2018,FY2018PRG50540FND218DEP13200ACC425150
Rental,219,Local Law Enforcement Block Gr,Finance,13200,Financial Operations,50540,Treasury,425150,GASB 31 Market Value Adjustmnt,2018,0,0,-368.62,2017  -  2018,FY2018PRG50540FND219DEP13200ACC425150
Rental,401,Capital Improvements Fund,Finance,13200,Financial Operations,50540,Treasury,425150,GASB 31 Market Value Adjustmnt,2018,0,0,-185475.88,2017  -  2018,FY2018PRG50540FND401DEP13200ACC425150
Rental,409,Vehicle Parking Dist. #1 Fund,Finance,13200,Financial Operations,50540,Treasury,425150,GASB 31 Market Value Adjustmnt,2018,0,0,-285.62,2017  -  2018,FY2018PRG50540FND409DEP13200ACC425150
Taxes,410,Vehicle Parking Dist. #2 Fund,Finance,13200,Financial Operations,50540,Treasury,410130,Homeowners Property Tax,2018,0,0,1.96,2017  -  2018,FY2018PRG50540FND410DEP13200ACC410130
Rental,410,Vehicle Parking Dist. #2 Fund,Finance,13200,Financial Operations,50540,Treasury,425150,GASB 31 Market Value Adjustmnt,2018,0,0,-543.05,2017  -  2018,FY2018PRG50540FND410DEP13200ACC425150
Rental,416,"Measure ""M2"" Fairshare",Finance,13200,Financial Operations,50540,Treasury,425150,GASB 31 Market Value Adjustmnt,2018,0,0,-77330.37,2017  -  2018,FY2018PRG50540FND416DEP13200ACC425150
Rental,417,Jack Hammett SC Cap Impr Fund,Finance,13200,Financial Operations,50540,Treasury,425150,GASB 31 Market Value Adjustmnt,2018,0,0,-1738.05,2017  -  2018,FY2018PRG50540FND417DEP13200ACC425150
Investment Income,418,Lions Park Proj 2017 Bond Fund,Finance,13200,Financial Operations,50540,Treasury,425100,Investment Earnings,2018,0,0,109958.33,2017  -  2018,FY2018PRG50540FND418DEP13200ACC425100
Rental,601,Equipment Replacement Fund,Finance,13200,Financial Operations,50540,Treasury,425150,GASB 31 Market Value Adjustmnt,2018,0,0,-13878.85,2017  -  2018,FY2018PRG50540FND601DEP13200ACC425150
Rental,602,Self-Insurance Fund,Finance,13200,Financial Operations,50540,Treasury,425150,GASB 31 Market Value Adjustmnt,2018,0,0,-125097.14,2017  -  2018,FY2018PRG50540FND602DEP13200ACC425150
Rental,603,IT Replacement Fund,Finance,13200,Financial Operations,50540,Treasury,425150,GASB 31 Market Value Adjustmnt,2018,0,0,-37579.98,2017  -  2018,FY2018PRG50540FND603DEP13200ACC425150
Miscellaneous,602,Self-Insurance Fund,City Manager,14400,Risk Management,50662,Liability,455240,Settlements Revenue,2018,0,0,35000,2017  -  2018,FY2018PRG50662FND602DEP14400ACC455240
Miscellaneous,602,Self-Insurance Fund,City Manager,14400,Risk Management,50662,Liability,455999,Other Reimbursements,2018,0,0,0,2017  -  2018,FY2018PRG50662FND602DEP14400ACC455999
Charges for Service,601,Equipment Replacement Fund,Public Services,19500,Maintenance Services,50920,Equipment Maintenance,435999,Other Charges for Services,2018,0,0,1959.73,2017  -  2018,FY2018PRG50920FND601DEP19500ACC435999
Intergovernmental,101,General Fund,Police,15400,Police Support Services,51040,Emergency Services,430199,Other Federal Grants,2018,0,0,16654,2017  -  2018,FY2018PRG51040FND101DEP15400ACC430199
Intergovernmental,101,General Fund,Police,15300,Police Field Operations,71043,2017 UASI Grant,430199,Other Federal Grants,2018,0,2125,0,2017  -  2018,FY2018PRG71043FND101DEP15300ACC430199
Charges for Service,101,General Fund,Fire,16200,Fire Suppression/MIC,10230,Emergency Medical Aid,435380,EMS - First Responder Fee,2020,0,0,7626.37,2019  -  2020,FY2020PRG10230FND101DEP16200ACC435380
Fines & Forfeitures,101,General Fund,Police,15300,Police Field Operations,10111,Field Area Policing,420100,Municipal Code Violations,2021,0,0,12575.34,2020  -  2021,FY2021PRG10111FND101DEP15300ACC420100
Taxes,409,Vehicle Parking Dist. #1 Fund,Finance,13200,Financial Operations,50540,Treasury,410130,Homeowners Property Tax,2018,3,3,0,2017  -  2018,FY2018PRG50540FND409DEP13200ACC410130
Taxes,409,Vehicle Parking Dist. #1 Fund,Finance,13200,Financial Operations,50540,Treasury,410135,Delinquent Tax - Penalties/Int,2018,1,1,0.26,2017  -  2018,FY2018PRG50540FND409DEP13200ACC410135
Investment Income,409,Vehicle Parking Dist. #1 Fund,Finance,13200,Financial Operations,50540,Treasury,425100,Investment Earnings,2018,90,90,9.04,2017  -  2018,FY2018PRG50540FND409DEP13200ACC425100
Taxes,410,Vehicle Parking Dist. #2 Fund,Finance,13200,Financial Operations,50540,Treasury,410100,Secured Property Tax,2018,5500,5500,35.47,2017  -  2018,FY2018PRG50540FND410DEP13200ACC410100
Taxes,410,Vehicle Parking Dist. #2 Fund,Finance,13200,Financial Operations,50540,Treasury,410110,Unsecured Property Tax,2018,0,0,8.1,2017  -  2018,FY2018PRG50540FND410DEP13200ACC410110
Charges for Service,101,General Fund,Police,15300,Police Field Operations,10111,Field Area Policing,435270,Repossessed Veh. Release Fees,2021,3728,3728,150,2020  -  2021,FY2021PRG10111FND101DEP15300ACC435270
Taxes,410,Vehicle Parking Dist. #2 Fund,Finance,13200,Financial Operations,50540,Treasury,410120,Supplemental Property Tax,2018,0,0,2.6,2017  -  2018,FY2018PRG50540FND410DEP13200ACC410120
Taxes,410,Vehicle Parking Dist. #2 Fund,Finance,13200,Financial Operations,50540,Treasury,410135,Delinquent Tax - Penalties/Int,2018,0,0,0.21,2017  -  2018,FY2018PRG50540FND410DEP13200ACC410135
Charges for Service,101,General Fund,Police,15300,Police Field Operations,10111,Field Area Policing,435320,Police False Alarms,2021,50442,50442,-14870.97,2020  -  2021,FY2021PRG10111FND101DEP15300ACC435320
Investment Income,410,Vehicle Parking Dist. #2 Fund,Finance,13200,Financial Operations,50540,Treasury,425100,Investment Earnings,2018,165,165,17.14,2017  -  2018,FY2018PRG50540FND410DEP13200ACC425100
Fines & Forfeitures,101,General Fund,Police,15300,Police Field Operations,10113,Traffic Enforcement,420110,Vehicle Code Violations,2021,184159,184159,16534.84,2020  -  2021,FY2021PRG10113FND101DEP15300ACC420110
Fines & Forfeitures,101,General Fund,Police,15300,Police Field Operations,10113,Traffic Enforcement,420120,Parking Citations,2021,1132699,1132699,33075.07,2020  -  2021,FY2021PRG10113FND101DEP15300ACC420120
Fines & Forfeitures,101,General Fund,Police,15300,Police Field Operations,10113,Traffic Enforcement,420200,Red-Light Camera Violation,2021,13000,13000,1983.65,2020  -  2021,FY2021PRG10113FND101DEP15300ACC420200
Charges for Service,101,General Fund,Police,15300,Police Field Operations,10113,Traffic Enforcement,435265,Vehicle Code Violation Fee,2021,1085,1085,30,2020  -  2021,FY2021PRG10113FND101DEP15300ACC435265
Charges for Service,101,General Fund,Police,15300,Police Field Operations,10114,Contract & Special Events,435250,Special Policing Fees,2021,163722,163722,0,2020  -  2021,FY2021PRG10114FND101DEP15300ACC435250
Charges for Service,101,General Fund,Police,15400,Police Support Services,10131,Records/Information Systems,435590,Police Reports,2021,29246,29246,2214,2020  -  2021,FY2021PRG10131FND101DEP15400ACC435590
Intergovernmental,415,"Measure M2"" Fund""",Finance,13200,Financial Operations,50540,Treasury,430312,"Measure M2"" Regional Grant""",2018,2528817,2528817,0,2017  -  2018,FY2018PRG50540FND415DEP13200ACC430312
Charges for Service,101,General Fund,Police,15400,Police Support Services,10131,Records/Information Systems,435610,Police Clearance Letters,2021,3958,3958,210,2020  -  2021,FY2021PRG10131FND101DEP15400ACC435610
Investment Income,416,"Measure M2"" Fairshare""",Finance,13200,Financial Operations,50540,Treasury,425100,Investment Earnings,2018,12000,12000,3236.75,2017  -  2018,FY2018PRG50540FND416DEP13200ACC425100
Intergovernmental,416,"Measure M2"" Fairshare""",Finance,13200,Financial Operations,50540,Treasury,430306,"Measure M2"" Fairshare""",2018,2462342,2462342,786468.44,2017  -  2018,FY2018PRG50540FND416DEP13200ACC430306
Investment Income,417,Jack Hammett SC Cap Impr Fund,Finance,13200,Financial Operations,50540,Treasury,425100,Investment Earnings,2018,0,0,127.13,2017  -  2018,FY2018PRG50540FND417DEP13200ACC425100
Investment Income,601,Equipment Replacement Fund,Finance,13200,Financial Operations,50540,Treasury,425100,Investment Earnings,2018,5000,5000,776.5,2017  -  2018,FY2018PRG50540FND601DEP13200ACC425100
Intergovernmental,101,General Fund,Police,15300,Police Field Operations,10133,Training,430245,Peace Offcrs. Stand./Training,2021,10000,10000,0,2020  -  2021,FY2021PRG10133FND101DEP15300ACC430245
Charges for Service,101,General Fund,Police,15300,Police Field Operations,10134,Crime Prevention,435330,Fingerprinting,2021,23175,23175,306,2020  -  2021,FY2021PRG10134FND101DEP15300ACC435330
Miscellaneous,101,General Fund,Police,15400,Police Support Services,10135,Youth Crime Intervention,455999,Other Reimbursements,2021,0,0,0,2020  -  2021,FY2021PRG10135FND101DEP15400ACC455999
Charges for Service,101,General Fund,Police,15400,Police Support Services,10137,Jail,435290,Jail Booking Fees - City,2021,27373,27373,-110772.43,2020  -  2021,FY2021PRG10137FND101DEP15400ACC435290
Licenses & Permits,101,General Fund,Police,15300,Police Field Operations,10139,Animal Control,415100,Dog Licenses,2021,67879,67879,6137.5,2020  -  2021,FY2021PRG10139FND101DEP15300ACC415100
Miscellaneous,601,Equipment Replacement Fund,Finance,13200,Financial Operations,50540,Treasury,499120,Sale of Automotive Equipment,2018,10000,10000,0,2017  -  2018,FY2018PRG50540FND601DEP13200ACC499120
Charges for Service,101,General Fund,Police,15300,Police Field Operations,10143,Office Traffic Safty RAID Grnt,435260,Vehicle Storage/Impound Fees,2021,247500,247500,27120,2020  -  2021,FY2021PRG10143FND101DEP15300ACC435260
Charges for Service,101,General Fund,Fire,16200,Fire Suppression/MIC,10210,Response and Control,435400,Fire False Alarms,2021,1400,1400,0,2020  -  2021,FY2021PRG10210FND101DEP16200ACC435400
Charges for Service,101,General Fund,Fire,16200,Fire Suppression/MIC,10210,Response and Control,435405,Accident Cost Recovery,2021,10000,10000,331.89,2020  -  2021,FY2021PRG10210FND101DEP16200ACC435405
Licenses & Permits,101,General Fund,Fire,16300,Community Risk Reduction,10220,Community Risk Reduction,415120,Fire Permits,2021,255000,255000,2160,2020  -  2021,FY2021PRG10220FND101DEP16300ACC415120
Licenses & Permits,101,General Fund,Fire,16300,Community Risk Reduction,10220,Community Risk Reduction,415125,Fire Construction Permits,2021,0,0,8802.6,2020  -  2021,FY2021PRG10220FND101DEP16300ACC415125
Licenses & Permits,101,General Fund,Fire,16300,Community Risk Reduction,10220,Community Risk Reduction,415165,Fire Plan Review Fees,2021,101000,101000,9650.7,2020  -  2021,FY2021PRG10220FND101DEP16300ACC415165
Charges for Service,101,General Fund,Fire,16300,Community Risk Reduction,10220,Community Risk Reduction,435370,Fire Inspections,2021,31250,31250,50,2020  -  2021,FY2021PRG10220FND101DEP16300ACC435370
Charges for Service,101,General Fund,Fire,16200,Fire Suppression/MIC,10230,Emergency Medical Aid,435390,Paramedic Fee - Advanced,2021,3550000,3550000,250193.75,2020  -  2021,FY2021PRG10230FND101DEP16200ACC435390
Charges for Service,101,General Fund,Fire,16200,Fire Suppression/MIC,10230,Emergency Medical Aid,435415,Fire Special Event Fees,2021,32000,32000,0,2020  -  2021,FY2021PRG10230FND101DEP16200ACC435415
Licenses & Permits,101,General Fund,Public Services,19100,Public Services Administration,20230,Recycling,415260,Self-Haul Permit,2021,21700,21700,1600,2020  -  2021,FY2021PRG20230FND101DEP19100ACC415260
Charges for Service,101,General Fund,Public Services,19100,Public Services Administration,20230,Recycling,435240,Source Reduction/Recycling,2021,12000,12000,0,2020  -  2021,FY2021PRG20230FND101DEP19100ACC435240
Miscellaneous,601,Equipment Replacement Fund,Finance,13200,Financial Operations,50540,Treasury,499150,Sale of Other Equipment,2018,0,0,19968.33,2017  -  2018,FY2018PRG50540FND601DEP13200ACC499150
Investment Income,602,Self-Insurance Fund,Finance,13200,Financial Operations,50540,Treasury,425100,Investment Earnings,2018,20000,20000,880.36,2017  -  2018,FY2018PRG50540FND602DEP13200ACC425100
Investment Income,603,IT Replacement Fund,Finance,13200,Financial Operations,50540,Treasury,425100,Investment Earnings,2018,1500,1500,1335.27,2017  -  2018,FY2018PRG50540FND603DEP13200ACC425100
Charges for Service,603,IT Replacement Fund,Finance,13200,Financial Operations,50540,Treasury,445210,"IT Computer, Rental",2018,250000,250000,0,2017  -  2018,FY2018PRG50540FND603DEP13200ACC445210
Charges for Service,602,Self-Insurance Fund,City Manager,14400,Risk Management,50630,Employee Benefit Admin.,435670,Unemployment Premiums,2018,86000,86000,28524.04,2017  -  2018,FY2018PRG50630FND602DEP14400ACC435670
Charges for Service,101,General Fund,Public Services,19100,Public Services Administration,20230,Recycling,435245,Self Haul Per-Project Fee,2021,83500,83500,5845,2020  -  2021,FY2021PRG20230FND101DEP19100ACC435245
Charges for Service,101,General Fund,Development Services,18200,Planning,20320,Planning,435100,"Zoning, Variance & CUP Fees",2021,437855,437855,11700,2020  -  2021,FY2021PRG20320FND101DEP18200ACC435100
Charges for Service,101,General Fund,Development Services,18200,Planning,20320,Planning,435110,Subdivision Map Fees,2021,23750,23750,0,2020  -  2021,FY2021PRG20320FND101DEP18200ACC435110
Charges for Service,101,General Fund,Development Services,18200,Planning,20320,Planning,435120,Environmental Impact Fees,2021,5000,5000,0,2020  -  2021,FY2021PRG20320FND101DEP18200ACC435120
Charges for Service,101,General Fund,Development Services,18200,Planning,20320,Planning,455255,Public Notices,2021,24000,24000,1794.97,2020  -  2021,FY2021PRG20320FND101DEP18200ACC455255
Licenses & Permits,101,General Fund,Development Services,18300,Building Safety,20350,Code Enforcement,415220,Home Occupation Permits,2021,8400,8400,1800,2020  -  2021,FY2021PRG20350FND101DEP18300ACC415220
Charges for Service,101,General Fund,Development Services,18300,Building Safety,20350,Code Enforcement,440200,Special Assessments,2021,1000,1000,0,2020  -  2021,FY2021PRG20350FND101DEP18300ACC440200
Fines & Forfeitures,101,General Fund,Development Services,18400,Community Improvement,20350,Code Enforcement,420100,Municipal Code Violations,2021,157500,157500,0,2020  -  2021,FY2021PRG20350FND101DEP18400ACC420100
Licenses & Permits,101,General Fund,Development Services,18300,Building Safety,20410,Building Safety,415130,Building Permits,2021,1491750,1491750,211483.99,2020  -  2021,FY2021PRG20410FND101DEP18300ACC415130
Licenses & Permits,101,General Fund,Development Services,18300,Building Safety,20410,Building Safety,415140,Electrical Permits,2021,206132,206132,24080.4,2020  -  2021,FY2021PRG20410FND101DEP18300ACC415140
Licenses & Permits,101,General Fund,Development Services,18300,Building Safety,20410,Building Safety,415150,Plumbing/Mechanical Permits,2021,240332,240332,24589.73,2020  -  2021,FY2021PRG20410FND101DEP18300ACC415150
Charges for Service,101,General Fund,Development Services,18300,Building Safety,20410,Building Safety,415160,Plan Check Fee,2021,358479,358479,31375.03,2020  -  2021,FY2021PRG20410FND101DEP18300ACC415160
Charges for Service,101,General Fund,Development Services,18300,Building Safety,20410,Building Safety,435585,Building Doc Retention Fee,2021,50000,50000,8521.48,2020  -  2021,FY2021PRG20410FND101DEP18300ACC435585
Taxes,101,General Fund,Finance,13200,Financial Operations,20415,Medical Marijuana,410300,Marijuana Bus Tax,2021,107864,107864,21125.75,2020  -  2021,FY2021PRG20415FND101DEP13200ACC410300
Licenses & Permits,101,General Fund,Development Services,18400,Community Improvement,20415,Medical Marijuana,415215,Marijuana Bus Permit,2021,45203,45203,2516,2020  -  2021,FY2021PRG20415FND101DEP18400ACC415215
Charges for Service,602,Self-Insurance Fund,City Manager,14400,Risk Management,50662,Liability,435650,General Liability Premiums,2018,2303196,2303196,767732.04,2017  -  2018,FY2018PRG50662FND602DEP14400ACC435650
Charges for Service,101,General Fund,Development Services,18400,Community Improvement,20415,Medical Marijuana,435105,Marijuana CUP,2021,55016,55016,0,2020  -  2021,FY2021PRG20415FND101DEP18400ACC435105
Miscellaneous,602,Self-Insurance Fund,City Manager,14400,Risk Management,50662,Liability,499999,Other,2018,0,0,1004.37,2017  -  2018,FY2018PRG50662FND602DEP14400ACC499999
Charges for Service,602,Self-Insurance Fund,City Manager,14400,Risk Management,50663,Worker's Compensation,435660,Workers' Compensation Premiums,2018,3240251,3240251,1081399.64,2017  -  2018,FY2018PRG50663FND602DEP14400ACC435660
Charges for Service,603,IT Replacement Fund,Information Technology,14600,Information Technology,50710,Computer Operations,445200,"Automotive Equipment, Rental",2018,0,0,0,2017  -  2018,FY2018PRG50710FND603DEP14600ACC445200
Charges for Service,603,IT Replacement Fund,Information Technology,14600,Information Technology,50710,Computer Operations,445210,"IT Computer, Rental",2018,0,0,83334,2017  -  2018,FY2018PRG50710FND603DEP14600ACC445210
Charges for Service,601,Equipment Replacement Fund,Public Services,19500,Maintenance Services,50920,Equipment Maintenance,445200,"Automotive Equipment, Rental",2018,2219424,2219424,403521.51,2017  -  2018,FY2018PRG50920FND601DEP19500ACC445200
Charges for Service,101,General Fund,Development Services,18400,Community Improvement,20415,Medical Marijuana,435255,Marijuana HdL Background,2021,11960,11960,1023,2020  -  2021,FY2021PRG20415FND101DEP18400ACC435255
Miscellaneous,205,HOME Program Fund,Development Services,11320,HOME,20422,Single Family Housing Rehab.,420180,Lien/Loan Repayment,2021,70000,70000,0,2020  -  2021,FY2021PRG20422FND205DEP11320ACC420180
Investment Income,205,HOME Program Fund,Development Services,11320,HOME,20422,Single Family Housing Rehab.,425100,Investment Earnings,2021,10000,10000,0,2020  -  2021,FY2021PRG20422FND205DEP11320ACC425100
Miscellaneous,207,CDBG Fund,Development Services,11310,Housing Administration,20422,Single Family Housing Rehab.,420180,Lien/Loan Repayment,2021,30000,30000,0,2020  -  2021,FY2021PRG20422FND207DEP11310ACC420180
Intergovernmental,207,CDBG Fund,Development Services,11310,Housing Administration,20427,CDBG Administration,430105,Community Dev. Block Grant,2021,1136657,1136657,0,2020  -  2021,FY2021PRG20427FND207DEP11310ACC430105
Miscellaneous,601,Equipment Replacement Fund,Public Services,19500,Maintenance Services,50920,Equipment Maintenance,455210,Damage to City Property,2018,0,0,10072.93,2017  -  2018,FY2018PRG50920FND601DEP19500ACC455210
Charges for Service,101,General Fund,Fire,16200,Fire Suppression/MIC,10230,Emergency Medical Aid,435391,Paramedic GEMT Fees,2019,0,0,-16096.74,2018  -  2019,FY2019PRG10230FND101DEP16200ACC435391
Miscellaneous,101,General Fund,Fire,16200,Fire Suppression/MIC,10230,Emergency Medical Aid,455999,Other Reimbursements,2019,0,100000,100000,2018  -  2019,FY2019PRG10230FND101DEP16200ACC455999
Intergovernmental,401,Capital Improvements Fund,Public Services,19300,Transportation Services,20110,Parkway and Median Landscaping,430199,Other Federal Grants,2019,0,0,67683.31,2018  -  2019,FY2019PRG20110FND401DEP19300ACC430199
Miscellaneous,216,Rental Rehab Program Fund,Development Services,11320,HOME,20460,CalHome,420180,Lien/Loan Repayment,2019,0,171748,0,2018  -  2019,FY2019PRG20460FND216DEP11320ACC420180
Intergovernmental,101,General Fund,Police,15400,Police Support Services,51040,Emergency Services,430299,Other State Grants,2018,95000,95000,16654,2017  -  2018,FY2018PRG51040FND101DEP15400ACC430299
Charges for Service,101,General Fund,City Manager,11100,City Manager Administration,51050,Communications and Marketing,435680,Central Services Charges,2018,75000,75000,34675.1,2017  -  2018,FY2018PRG51050FND101DEP11100ACC435680
Intergovernmental,219,Local Law Enforcement Block Gr,Police,15300,Police Field Operations,70900,2005 Justice Assistance Grant,430108,Local Law Enforcemnt Blk Grnt,2018,17000,17000,0,2017  -  2018,FY2018PRG70900FND219DEP15300ACC430108
Intergovernmental,101,General Fund,Police,15300,Police Field Operations,71019,AB109-Post Release Comm Superv,430299,Other State Grants,2018,0,0,7921.34,2017  -  2018,FY2018PRG71019FND101DEP15300ACC430299
Intergovernmental,220,Office of Traffic Safety,Police,15300,Police Field Operations,71027,2017 STEP Grant,430199,Other Federal Grants,2018,0,0,0,2017  -  2018,FY2018PRG71027FND220DEP15300ACC430199
Intergovernmental,220,Office of Traffic Safety,Police,15300,Police Field Operations,71028,2018 STEP Grant,430199,Other Federal Grants,2018,0,290000,0,2017  -  2018,FY2018PRG71028FND220DEP15300ACC430199
Intergovernmental,201,Gas Tax Fund,Public Services,19200,Engineering,71200,RMRA Road Maint Rehab Account,430239,Gasoline Tax - RMRA,2018,0,650000,0,2017  -  2018,FY2018PRG71200FND201DEP19200ACC430239
Miscellaneous,403,"Measure ""M"" Construction Fund",Public Services,19200,Engineering,30112,Street Improvements,455999,Other Reimbursements,2019,0,0,-9097,2018  -  2019,FY2019PRG30112FND403DEP19200ACC455999
Intergovernmental,401,Capital Improvements Fund,Public Services,19300,Transportation Services,30225,Active Transportation Improve,430199,Other Federal Grants,2019,0,0,0,2018  -  2019,FY2019PRG30225FND401DEP19300ACC430199
Rental,413,Golf Course Improvement Fund,Parks and Community Services,14300,Recreation Division,40217,Golf Course Management,445180,Golf Course Operations,2019,0,102916,102915.03,2018  -  2019,FY2019PRG40217FND413DEP14300ACC445180
Transfers In,750,OPEB Trust Fund,Non-Departmental,90000,Non-Departmental,50240,Non-Departmental,460100,Operating Transfers In,2019,0,1750000,1750000,2018  -  2019,FY2019PRG50240FND750DEP90000ACC460100
Taxes,101,General Fund,Finance,13200,Financial Operations,50500,Financial Services,410100,Secured Property Tax,2019,0,0,165808.92,2018  -  2019,FY2019PRG50500FND101DEP13200ACC410100
Taxes,101,General Fund,Finance,13200,Financial Operations,50500,Financial Services,410120,Supplemental Property Tax,2019,0,0,93997.8,2018  -  2019,FY2019PRG50500FND101DEP13200ACC410120
Taxes,101,General Fund,Finance,13200,Financial Operations,50500,Financial Services,410135,Delinquent Tax - Penalties/Int,2019,0,0,7377.76,2018  -  2019,FY2019PRG50500FND101DEP13200ACC410135
Taxes,101,General Fund,Finance,13200,Financial Operations,50500,Financial Services,410140,Property Transfer Tax,2019,0,0,63922.34,2018  -  2019,FY2019PRG50500FND101DEP13200ACC410140
Taxes,101,General Fund,Finance,13200,Financial Operations,50500,Financial Services,410160,Sales Tax,2019,0,0,10748276.58,2018  -  2019,FY2019PRG50500FND101DEP13200ACC410160
Taxes,101,General Fund,Finance,13200,Financial Operations,50500,Financial Services,410170,Sales Tax - Prop 172,2019,0,0,0,2018  -  2019,FY2019PRG50500FND101DEP13200ACC410170
Taxes,101,General Fund,Finance,13200,Financial Operations,50500,Financial Services,410180,Transient Occupancy Tax,2019,0,0,730541.17,2018  -  2019,FY2019PRG50500FND101DEP13200ACC410180
Taxes,101,General Fund,Finance,13200,Financial Operations,50500,Financial Services,410200,Cable TV Franchise Tax,2019,0,0,248683.13,2018  -  2019,FY2019PRG50500FND101DEP13200ACC410200
Taxes,101,General Fund,Finance,13200,Financial Operations,50500,Financial Services,410205,PEG Cable TV Franchise Tax,2019,0,0,49736.63,2018  -  2019,FY2019PRG50500FND101DEP13200ACC410205
Taxes,101,General Fund,Finance,13200,Financial Operations,50500,Financial Services,410225,Solid WasteHauler Frnchise Tax,2019,0,0,549675.48,2018  -  2019,FY2019PRG50500FND101DEP13200ACC410225
Investment Income,101,General Fund,Finance,13200,Financial Operations,50500,Financial Services,425100,Investment Earnings,2019,0,0,213071.01,2018  -  2019,FY2019PRG50500FND101DEP13200ACC425100
Intergovernmental,101,General Fund,Finance,13200,Financial Operations,50500,Financial Services,430285,Reimb. of Mandated Costs,2019,0,0,138932,2018  -  2019,FY2019PRG50500FND101DEP13200ACC430285
Intergovernmental,101,General Fund,Finance,13200,Financial Operations,50500,Financial Services,430399,Other County Grants/Programs,2019,0,0,191609.52,2018  -  2019,FY2019PRG50500FND101DEP13200ACC430399
Rental,101,General Fund,Finance,13200,Financial Operations,50500,Financial Services,445100,"Buildings/Grounds, Rental",2019,0,0,4562.62,2018  -  2019,FY2019PRG50500FND101DEP13200ACC445100
Miscellaneous,101,General Fund,Finance,13200,Financial Operations,50500,Financial Services,499999,Other,2019,0,0,2724.12,2018  -  2019,FY2019PRG50500FND101DEP13200ACC499999
Investment Income,201,Gas Tax Fund,Finance,13200,Financial Operations,50500,Financial Services,425100,Investment Earnings,2019,0,0,32982.11,2018  -  2019,FY2019PRG50500FND201DEP13200ACC425100
Investment Income,203,Air Quality Improvement Fund,Finance,13200,Financial Operations,50500,Financial Services,425100,Investment Earnings,2019,0,0,1276.51,2018  -  2019,FY2019PRG50500FND203DEP13200ACC425100
Intergovernmental,203,Air Quality Improvement Fund,Finance,13200,Financial Operations,50500,Financial Services,430240,Air Quality Improvement Fees,2019,0,0,38769.89,2018  -  2019,FY2019PRG50500FND203DEP13200ACC430240
Investment Income,205,HOME Program Fund,Finance,13200,Financial Operations,50500,Financial Services,425100,Investment Earnings,2019,0,0,8194.63,2018  -  2019,FY2019PRG50500FND205DEP13200ACC425100
Investment Income,208,Park Development Fees Fund,Finance,13200,Financial Operations,50500,Financial Services,425100,Investment Earnings,2019,0,0,30132.35,2018  -  2019,FY2019PRG50500FND208DEP13200ACC425100
Investment Income,209,Drainage Fees Fund,Finance,13200,Financial Operations,50500,Financial Services,425100,Investment Earnings,2019,0,0,7351.67,2018  -  2019,FY2019PRG50500FND209DEP13200ACC425100
