fiscal_year,adopted,amended,expended,categories,sub_categories,fund_code,departments,organization,organization_descr,program_code,account_groupings,account,fund_code_descr,program_code_descr,account_descr,fiscal_year_descr,row_id
2019,0,2650,2605.62,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40231,Salaries and Benefits,501600,General Fund,Senior Center,Vacation/Comp. Time Cash Out,2018  -  2019,FY2019PRG40231FND101DEP14300ACC501600
2019,0,1100,1042.25,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40231,Salaries and Benefits,501700,General Fund,Senior Center,Holiday Allowance,2018  -  2019,FY2019PRG40231FND101DEP14300ACC501700
2019,23555,19111,7472.6,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40231,Salaries and Benefits,501900,General Fund,Senior Center,Other Compensation,2018  -  2019,FY2019PRG40231FND101DEP14300ACC501900
2019,41028,41028,41870.16,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40231,Salaries and Benefits,505100,General Fund,Senior Center,Cafeteria Plan,2018  -  2019,FY2019PRG40231FND101DEP14300ACC505100
2019,2574,5224,7358.29,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40231,Salaries and Benefits,505200,General Fund,Senior Center,Medicare,2018  -  2019,FY2019PRG40231FND101DEP14300ACC505200
2019,208211,196757,135478.69,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40231,Salaries and Benefits,505300,General Fund,Senior Center,Retirement,2018  -  2019,FY2019PRG40231FND101DEP14300ACC505300
2019,945,2345,2576.4,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40231,Salaries and Benefits,505500,General Fund,Senior Center,Executive Prof Development,2018  -  2019,FY2019PRG40231FND101DEP14300ACC505500
2019,6000,3500,3737.94,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40231,Maintenance and Operations,510100,General Fund,Senior Center,Stationery and Office,2018  -  2019,FY2019PRG40231FND101DEP14300ACC510100
2019,2000,17600,17376.94,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40231,Maintenance and Operations,510200,General Fund,Senior Center,"Multi-Media, Promos, Subscrpt.",2018  -  2019,FY2019PRG40231FND101DEP14300ACC510200
2019,20799,21199,21545.14,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40231,Maintenance and Operations,510300,General Fund,Senior Center,Small Tools and Equipment,2018  -  2019,FY2019PRG40231FND101DEP14300ACC510300
2019,1000,1280,1175.55,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40231,Maintenance and Operations,510400,General Fund,Senior Center,Uniforms and Clothing,2018  -  2019,FY2019PRG40231FND101DEP14300ACC510400
2019,16500,11820,11525.48,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40231,Maintenance and Operations,510500,General Fund,Senior Center,Safety and Health,2018  -  2019,FY2019PRG40231FND101DEP14300ACC510500
2018,0,0,2674.07,General Government Support,Maintenance Services,207,Public Services,19500,Maintenance Services,50910,Salaries and Benefits,501200,CDBG Fund,Building Maintenance,Regular Salaries - Non-Sworn,2017  -  2018,FY2018PRG50910FND207DEP19500ACC501200
2018,0,0,749.69,General Government Support,Maintenance Services,207,Public Services,19500,Maintenance Services,50910,Salaries and Benefits,505300,CDBG Fund,Building Maintenance,Retirement,2017  -  2018,FY2018PRG50910FND207DEP19500ACC505300
2019,0,0,6408.77,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40231,Maintenance and Operations,510600,General Fund,Senior Center,Maintenance and Construction,2018  -  2019,FY2019PRG40231FND101DEP14300ACC510600
2018,0,0,0,General Government Support,Maintenance Services,101,Public Services,19500,Maintenance Services,50920,Maintenance and Operations,525100,General Fund,Equipment Maintenance,Buildings and Structures,2017  -  2018,FY2018PRG50920FND101DEP19500ACC525100
2018,0,0,0,General Government Support,Maintenance Services,101,Public Services,19500,Maintenance Services,50920,Maintenance and Operations,525800,General Fund,Equipment Maintenance,Other Equipment,2017  -  2018,FY2018PRG50920FND101DEP19500ACC525800
2019,47340,47340,44283.11,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40231,Maintenance and Operations,515100,General Fund,Senior Center,Electricity - Buildings & Fac.,2018  -  2019,FY2019PRG40231FND101DEP14300ACC515100
2019,5075,5075,6190.96,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40231,Maintenance and Operations,515400,General Fund,Senior Center,Gas,2018  -  2019,FY2019PRG40231FND101DEP14300ACC515400
2019,50987,52165.21,52187.53,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40231,Maintenance and Operations,515800,General Fund,Senior Center,Janitorial and Housekeeping,2018  -  2019,FY2019PRG40231FND101DEP14300ACC515800
2019,11000,11000,14025.7,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40231,Maintenance and Operations,520400,General Fund,Senior Center,Telephone/Radio/Communications,2018  -  2019,FY2019PRG40231FND101DEP14300ACC520400
2018,0,0,339.13,General Government Support,Maintenance Services,601,Public Services,19500,Maintenance Services,50920,Salaries and Benefits,501600,Equipment Replacement Fund,Equipment Maintenance,Vacation/Comp. Time Cash Out,2017  -  2018,FY2018PRG50920FND601DEP19500ACC501600
2018,0,0,1740.33,General Government Support,Maintenance Services,601,Public Services,19500,Maintenance Services,50920,Salaries and Benefits,501700,Equipment Replacement Fund,Equipment Maintenance,Holiday Allowance,2017  -  2018,FY2018PRG50920FND601DEP19500ACC501700
2018,0,0,6007.15,General Government Support,Maintenance Services,601,Public Services,19500,Maintenance Services,50920,Salaries and Benefits,501800,Equipment Replacement Fund,Equipment Maintenance,Separation Pay-Off,2017  -  2018,FY2018PRG50920FND601DEP19500ACC501800
2019,5000,5000,0,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40231,Maintenance and Operations,525100,General Fund,Senior Center,Buildings and Structures,2018  -  2019,FY2019PRG40231FND101DEP14300ACC525100
2019,2500,640,0,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40231,Maintenance and Operations,525600,General Fund,Senior Center,Office Furniture,2018  -  2019,FY2019PRG40231FND101DEP14300ACC525600
2019,500,1800,1644.3,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40231,Maintenance and Operations,525700,General Fund,Senior Center,Office Equipment,2018  -  2019,FY2019PRG40231FND101DEP14300ACC525700
2019,0,0,1667.72,Community Health & Environment,Planning,101,Development Services,18200,Planning,20320,Salaries and Benefits,501700,General Fund,Planning,Holiday Allowance,2018  -  2019,FY2019PRG20320FND101DEP18200ACC501700
2019,5148,5148,3931.42,Community Health & Environment,Planning,101,Development Services,18200,Planning,20320,Salaries and Benefits,501900,General Fund,Planning,Other Compensation,2018  -  2019,FY2019PRG20320FND101DEP18200ACC501900
2019,150228,154584,152820.8,Community Health & Environment,Planning,101,Development Services,18200,Planning,20320,Salaries and Benefits,505100,General Fund,Planning,Cafeteria Plan,2018  -  2019,FY2019PRG20320FND101DEP18200ACC505100
2019,2000,2000,1417.37,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40231,Maintenance and Operations,525800,General Fund,Senior Center,Other Equipment,2018  -  2019,FY2019PRG40231FND101DEP14300ACC525800
2019,30000,30000,32546.41,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40231,Maintenance and Operations,530200,General Fund,Senior Center,Consulting,2018  -  2019,FY2019PRG40231FND101DEP14300ACC530200
2019,62730,40430,43362.01,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40231,Maintenance and Operations,530800,General Fund,Senior Center,Recreation,2018  -  2019,FY2019PRG40231FND101DEP14300ACC530800
2019,191475,149926.25,86996,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40231,Maintenance and Operations,535400,General Fund,Senior Center,External Rent,2018  -  2019,FY2019PRG40231FND101DEP14300ACC535400
2019,36500,25500,31559.33,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40231,Maintenance and Operations,535800,General Fund,Senior Center,Internal Rent Central Services,2018  -  2019,FY2019PRG40231FND101DEP14300ACC535800
2019,21105,6105,6105,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40231,Maintenance and Operations,536100,General Fund,Senior Center,Internal Rent - Maintenance,2018  -  2019,FY2019PRG40231FND101DEP14300ACC536100
2019,5100,5100,6355.9,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40231,Maintenance and Operations,540700,General Fund,Senior Center,Taxes and Assessments,2018  -  2019,FY2019PRG40231FND101DEP14300ACC540700
2019,0,6221.29,6221.29,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40231,Fixed Assets,590700,General Fund,Senior Center,Office Equipment,2018  -  2019,FY2019PRG40231FND101DEP14300ACC590700
2019,0,460,439.57,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40231,Fixed Assets,590800,General Fund,Senior Center,Other Equipment,2018  -  2019,FY2019PRG40231FND101DEP14300ACC590800
2019,82342,82342,76072.04,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40232,Salaries and Benefits,501300,General Fund,Day Camp,Regular Salaries - Part-Time,2018  -  2019,FY2019PRG40232FND101DEP14300ACC501300
2019,5795,5795,0,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40232,Salaries and Benefits,501900,General Fund,Day Camp,Other Compensation,2018  -  2019,FY2019PRG40232FND101DEP14300ACC501900
2019,0,250,326.43,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40232,Salaries and Benefits,505200,General Fund,Day Camp,Medicare,2018  -  2019,FY2019PRG40232FND101DEP14300ACC505200
2019,31134,31134,13402.57,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40232,Salaries and Benefits,505300,General Fund,Day Camp,Retirement,2018  -  2019,FY2019PRG40232FND101DEP14300ACC505300
2019,2000,2000,2089.01,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40232,Maintenance and Operations,510100,General Fund,Day Camp,Stationery and Office,2018  -  2019,FY2019PRG40232FND101DEP14300ACC510100
2019,200,200,103.94,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40232,Maintenance and Operations,510200,General Fund,Day Camp,"Multi-Media, Promos, Subscrpt.",2018  -  2019,FY2019PRG40232FND101DEP14300ACC510200
2018,0,0,951493.93,General Government Support,Maintenance Services,601,Public Services,19500,Maintenance Services,50920,Maintenance and Operations,535600,Equipment Replacement Fund,Equipment Maintenance,Depreciation,2017  -  2018,FY2018PRG50920FND601DEP19500ACC535600
2019,2788,2755,2330.89,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40232,Maintenance and Operations,510300,General Fund,Day Camp,Small Tools and Equipment,2018  -  2019,FY2019PRG40232FND101DEP14300ACC510300
2019,58000,47362,42123.86,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40232,Maintenance and Operations,530800,General Fund,Day Camp,Recreation,2018  -  2019,FY2019PRG40232FND101DEP14300ACC530800
2019,13271,14451,14355.08,Community Health & Environment,Planning,101,Development Services,18200,Planning,20320,Salaries and Benefits,505200,General Fund,Planning,Medicare,2018  -  2019,FY2019PRG20320FND101DEP18200ACC505200
2019,343792,360677,372345.73,Community Health & Environment,Planning,101,Development Services,18200,Planning,20320,Salaries and Benefits,505300,General Fund,Planning,Retirement,2018  -  2019,FY2019PRG20320FND101DEP18200ACC505300
2019,15750,21000,20260.12,Community Health & Environment,Planning,101,Development Services,18200,Planning,20320,Salaries and Benefits,505500,General Fund,Planning,Executive Prof Development,2018  -  2019,FY2019PRG20320FND101DEP18200ACC505500
2019,6000,6000,5577.33,Community Health & Environment,Planning,101,Development Services,18200,Planning,20320,Maintenance and Operations,510100,General Fund,Planning,Stationery and Office,2018  -  2019,FY2019PRG20320FND101DEP18200ACC510100
2019,1000,1900,2041.51,Community Health & Environment,Planning,101,Development Services,18200,Planning,20320,Maintenance and Operations,510200,General Fund,Planning,"Multi-Media, Promos, Subscrpt.",2018  -  2019,FY2019PRG20320FND101DEP18200ACC510200
2019,24000,31530,31503.5,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40232,Maintenance and Operations,535400,General Fund,Day Camp,External Rent,2018  -  2019,FY2019PRG40232FND101DEP14300ACC535400
2019,1634,1634,1634,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40232,Maintenance and Operations,536100,General Fund,Day Camp,Internal Rent - Maintenance,2018  -  2019,FY2019PRG40232FND101DEP14300ACC536100
2019,7030,7030,7030,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40232,Maintenance and Operations,536200,General Fund,Day Camp,Internal Rent - Repl Cost,2018  -  2019,FY2019PRG40232FND101DEP14300ACC536200
2019,0,33,32.31,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40232,Fixed Assets,590800,General Fund,Day Camp,Other Equipment,2018  -  2019,FY2019PRG40232FND101DEP14300ACC590800
2019,17589,17589,18100.73,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40233,Salaries and Benefits,501200,General Fund,Playgrounds Program,Regular Salaries - Non-Sworn,2018  -  2019,FY2019PRG40233FND101DEP14300ACC501200
2019,584462,584462,630768.77,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40233,Salaries and Benefits,501300,General Fund,Playgrounds Program,Regular Salaries - Part-Time,2018  -  2019,FY2019PRG40233FND101DEP14300ACC501300
2019,0,1500,655.09,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40233,Salaries and Benefits,501400,General Fund,Playgrounds Program,Overtime,2018  -  2019,FY2019PRG40233FND101DEP14300ACC501400
2019,0,500,135.32,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40233,Salaries and Benefits,501700,General Fund,Playgrounds Program,Holiday Allowance,2018  -  2019,FY2019PRG40233FND101DEP14300ACC501700
2019,9905,9905,0,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40233,Salaries and Benefits,501900,General Fund,Playgrounds Program,Other Compensation,2018  -  2019,FY2019PRG40233FND101DEP14300ACC501900
2019,3900,3900,4462.49,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40233,Salaries and Benefits,505100,General Fund,Playgrounds Program,Cafeteria Plan,2018  -  2019,FY2019PRG40233FND101DEP14300ACC505100
2019,255,7605,10459.43,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40233,Salaries and Benefits,505200,General Fund,Playgrounds Program,Medicare,2018  -  2019,FY2019PRG40233FND101DEP14300ACC505200
2019,151292,151292,82371.68,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40233,Salaries and Benefits,505300,General Fund,Playgrounds Program,Retirement,2018  -  2019,FY2019PRG40233FND101DEP14300ACC505300
2019,2600,2020,1456,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40233,Salaries and Benefits,505500,General Fund,Playgrounds Program,Executive Prof Development,2018  -  2019,FY2019PRG40233FND101DEP14300ACC505500
2019,8000,12500,11812.87,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40233,Maintenance and Operations,510100,General Fund,Playgrounds Program,Stationery and Office,2018  -  2019,FY2019PRG40233FND101DEP14300ACC510100
2019,3700,1850,124.47,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40233,Maintenance and Operations,510200,General Fund,Playgrounds Program,"Multi-Media, Promos, Subscrpt.",2018  -  2019,FY2019PRG40233FND101DEP14300ACC510200
2019,1000,15822.99,11750.55,Community Health & Environment,Planning,101,Development Services,18200,Planning,20320,Maintenance and Operations,510300,General Fund,Planning,Small Tools and Equipment,2018  -  2019,FY2019PRG20320FND101DEP18200ACC510300
2019,6250,6250,18184.2,Community Health & Environment,Planning,101,Development Services,18200,Planning,20320,Maintenance and Operations,520100,General Fund,Planning,Postage,2018  -  2019,FY2019PRG20320FND101DEP18200ACC520100
2019,25000,25000,26765.56,Community Health & Environment,Planning,101,Development Services,18200,Planning,20320,Maintenance and Operations,520200,General Fund,Planning,Legal Advertising/Filing Fees,2018  -  2019,FY2019PRG20320FND101DEP18200ACC520200
2019,200,800,708.88,Community Health & Environment,Planning,101,Development Services,18200,Planning,20320,Maintenance and Operations,520600,General Fund,Planning,Mileage Reimbursement,2018  -  2019,FY2019PRG20320FND101DEP18200ACC520600
2019,20000,2578,0,Community Health & Environment,Planning,101,Development Services,18200,Planning,20320,Maintenance and Operations,530100,General Fund,Planning,Employment,2018  -  2019,FY2019PRG20320FND101DEP18200ACC530100
2019,263391,655876.06,285478.35,Community Health & Environment,Planning,101,Development Services,18200,Planning,20320,Maintenance and Operations,530200,General Fund,Planning,Consulting,2018  -  2019,FY2019PRG20320FND101DEP18200ACC530200
2019,8500,0,0,Community Health & Environment,Planning,101,Development Services,18200,Planning,20320,Maintenance and Operations,530300,General Fund,Planning,Legal,2018  -  2019,FY2019PRG20320FND101DEP18200ACC530300
2019,9750,9620,9026.61,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40233,Maintenance and Operations,510300,General Fund,Playgrounds Program,Small Tools and Equipment,2018  -  2019,FY2019PRG40233FND101DEP14300ACC510300
2019,3000,4850,4816.75,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40233,Maintenance and Operations,510400,General Fund,Playgrounds Program,Uniforms and Clothing,2018  -  2019,FY2019PRG40233FND101DEP14300ACC510400
2019,500,500,0,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40233,Maintenance and Operations,510600,General Fund,Playgrounds Program,Maintenance and Construction,2018  -  2019,FY2019PRG40233FND101DEP14300ACC510600
2019,7962,0,0,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40233,Maintenance and Operations,525800,General Fund,Playgrounds Program,Other Equipment,2018  -  2019,FY2019PRG40233FND101DEP14300ACC525800
2019,4000,3580,3079.25,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40233,Maintenance and Operations,530800,General Fund,Playgrounds Program,Recreation,2018  -  2019,FY2019PRG40233FND101DEP14300ACC530800
2019,1500,1500,1283.5,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40233,Maintenance and Operations,535400,General Fund,Playgrounds Program,External Rent,2018  -  2019,FY2019PRG40233FND101DEP14300ACC535400
2019,16251,16251,16772.39,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40236,Salaries and Benefits,501200,General Fund,Teen Programs,Regular Salaries - Non-Sworn,2018  -  2019,FY2019PRG40236FND101DEP14300ACC501200
2019,84369,84369,92361.64,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40236,Salaries and Benefits,501300,General Fund,Teen Programs,Regular Salaries - Part-Time,2018  -  2019,FY2019PRG40236FND101DEP14300ACC501300
2019,0,800,1315.77,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40236,Salaries and Benefits,501400,General Fund,Teen Programs,Overtime,2018  -  2019,FY2019PRG40236FND101DEP14300ACC501400
2019,0,150,127.02,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40236,Salaries and Benefits,501700,General Fund,Teen Programs,Holiday Allowance,2018  -  2019,FY2019PRG40236FND101DEP14300ACC501700
2019,4356,4192,0,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40236,Salaries and Benefits,501900,General Fund,Teen Programs,Other Compensation,2018  -  2019,FY2019PRG40236FND101DEP14300ACC501900
2019,3900,3900,3993.04,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40236,Salaries and Benefits,505100,General Fund,Teen Programs,Cafeteria Plan,2018  -  2019,FY2019PRG40236FND101DEP14300ACC505100
2019,3000,7809.59,4752.83,Community Health & Environment,Planning,101,Development Services,18200,Planning,20320,Maintenance and Operations,535400,General Fund,Planning,External Rent,2018  -  2019,FY2019PRG20320FND101DEP18200ACC535400
2019,4594,12594,10943.32,Community Health & Environment,Planning,101,Development Services,18200,Planning,20320,Fixed Assets,590800,General Fund,Planning,Other Equipment,2018  -  2019,FY2019PRG20320FND101DEP18200ACC590800
2019,619175,615975,551416.18,Community Health & Environment,Community Improvement,101,Development Services,18400,Community Improvement,20350,Salaries and Benefits,501200,General Fund,Code Enforcement,Regular Salaries - Non-Sworn,2018  -  2019,FY2019PRG20350FND101DEP18400ACC501200
2019,225923,225923,80578.9,Community Health & Environment,Community Improvement,101,Development Services,18400,Community Improvement,20350,Salaries and Benefits,501300,General Fund,Code Enforcement,Regular Salaries - Part-Time,2018  -  2019,FY2019PRG20350FND101DEP18400ACC501300
2019,42000,42000,12039.32,Community Health & Environment,Community Improvement,101,Development Services,18400,Community Improvement,20350,Salaries and Benefits,501400,General Fund,Code Enforcement,Overtime,2018  -  2019,FY2019PRG20350FND101DEP18400ACC501400
2019,236,1286,1824.93,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40236,Salaries and Benefits,505200,General Fund,Teen Programs,Medicare,2018  -  2019,FY2019PRG40236FND101DEP14300ACC505200
2019,21599,21599,13067.62,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40236,Salaries and Benefits,505300,General Fund,Teen Programs,Retirement,2018  -  2019,FY2019PRG40236FND101DEP14300ACC505300
2019,400,400,261.2,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40236,Salaries and Benefits,505500,General Fund,Teen Programs,Executive Prof Development,2018  -  2019,FY2019PRG40236FND101DEP14300ACC505500
2019,1200,1200,876.25,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40236,Maintenance and Operations,510100,General Fund,Teen Programs,Stationery and Office,2018  -  2019,FY2019PRG40236FND101DEP14300ACC510100
2019,750,750,58.23,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40236,Maintenance and Operations,510200,General Fund,Teen Programs,"Multi-Media, Promos, Subscrpt.",2018  -  2019,FY2019PRG40236FND101DEP14300ACC510200
2019,4100,12865,8126.05,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40236,Maintenance and Operations,510300,General Fund,Teen Programs,Small Tools and Equipment,2018  -  2019,FY2019PRG40236FND101DEP14300ACC510300
2019,6100,6100,5083.37,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40236,Maintenance and Operations,510500,General Fund,Teen Programs,Safety and Health,2018  -  2019,FY2019PRG40236FND101DEP14300ACC510500
2019,250,250,64.54,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40236,Maintenance and Operations,510600,General Fund,Teen Programs,Maintenance and Construction,2018  -  2019,FY2019PRG40236FND101DEP14300ACC510600
2019,300,300,0,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40236,Maintenance and Operations,530600,General Fund,Teen Programs,Medical and Health Inspection,2018  -  2019,FY2019PRG40236FND101DEP14300ACC530600
2019,17750,17750,18455.94,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40236,Maintenance and Operations,530800,General Fund,Teen Programs,Recreation,2018  -  2019,FY2019PRG40236FND101DEP14300ACC530800
2019,17589,17589,18099.39,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40241,Salaries and Benefits,501200,General Fund,Early Childhood,Regular Salaries - Non-Sworn,2018  -  2019,FY2019PRG40241FND101DEP14300ACC501200
2019,94582,94582,90368.82,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40241,Salaries and Benefits,501300,General Fund,Early Childhood,Regular Salaries - Part-Time,2018  -  2019,FY2019PRG40241FND101DEP14300ACC501300
2019,255,1055,1417.74,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40241,Salaries and Benefits,505200,General Fund,Early Childhood,Medicare,2018  -  2019,FY2019PRG40241FND101DEP14300ACC505200
2019,41809,41809,38409.23,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40241,Salaries and Benefits,505300,General Fund,Early Childhood,Retirement,2018  -  2019,FY2019PRG40241FND101DEP14300ACC505300
2019,500,500,427.5,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40241,Salaries and Benefits,505500,General Fund,Early Childhood,Executive Prof Development,2018  -  2019,FY2019PRG40241FND101DEP14300ACC505500
2019,0,2000,1417.47,Community Health & Environment,Community Improvement,101,Development Services,18400,Community Improvement,20350,Salaries and Benefits,501700,General Fund,Code Enforcement,Holiday Allowance,2018  -  2019,FY2019PRG20350FND101DEP18400ACC501700
2019,0,1200,1175.98,Community Health & Environment,Community Improvement,101,Development Services,18400,Community Improvement,20350,Salaries and Benefits,501800,General Fund,Code Enforcement,Separation Pay-Off,2018  -  2019,FY2019PRG20350FND101DEP18400ACC501800
2019,26497,26497,11523.92,Community Health & Environment,Community Improvement,101,Development Services,18400,Community Improvement,20350,Salaries and Benefits,501900,General Fund,Code Enforcement,Other Compensation,2018  -  2019,FY2019PRG20350FND101DEP18400ACC501900
2019,131383,131383,115246.53,Community Health & Environment,Community Improvement,101,Development Services,18400,Community Improvement,20350,Salaries and Benefits,505100,General Fund,Code Enforcement,Cafeteria Plan,2018  -  2019,FY2019PRG20350FND101DEP18400ACC505100
2019,9173,9173,10748.57,Community Health & Environment,Community Improvement,101,Development Services,18400,Community Improvement,20350,Salaries and Benefits,505200,General Fund,Code Enforcement,Medicare,2018  -  2019,FY2019PRG20350FND101DEP18400ACC505200
2019,284573,284573,233010.01,Community Health & Environment,Community Improvement,101,Development Services,18400,Community Improvement,20350,Salaries and Benefits,505300,General Fund,Code Enforcement,Retirement,2018  -  2019,FY2019PRG20350FND101DEP18400ACC505300
2019,26000,48000,43434.66,Community Health & Environment,Community Improvement,101,Development Services,18400,Community Improvement,20350,Salaries and Benefits,505500,General Fund,Code Enforcement,Executive Prof Development,2018  -  2019,FY2019PRG20350FND101DEP18400ACC505500
2019,11000,10905,5594.13,Community Health & Environment,Community Improvement,101,Development Services,18400,Community Improvement,20350,Maintenance and Operations,510100,General Fund,Code Enforcement,Stationery and Office,2018  -  2019,FY2019PRG20350FND101DEP18400ACC510100
2019,0,678,95,Community Health & Environment,Community Improvement,101,Development Services,18400,Community Improvement,20350,Maintenance and Operations,525600,General Fund,Code Enforcement,Office Furniture,2018  -  2019,FY2019PRG20350FND101DEP18400ACC525600
2019,104999,201833.7,91018.93,Community Health & Environment,Community Improvement,101,Development Services,18400,Community Improvement,20350,Maintenance and Operations,530200,General Fund,Code Enforcement,Consulting,2018  -  2019,FY2019PRG20350FND101DEP18400ACC530200
2019,2000,6323.91,3666.31,Community Health & Environment,Community Improvement,101,Development Services,18400,Community Improvement,20350,Maintenance and Operations,535400,General Fund,Code Enforcement,External Rent,2018  -  2019,FY2019PRG20350FND101DEP18400ACC535400
